Recency,Frequency,Monetary,churn
326,1,77183.6,1
2,7,4310.0,0
75,4,1797.24,0
19,1,1757.55,0
310,1,334.40000000000003,1
36,8,2506.04,0
204,1,89.0,1
232,1,1079.4,1
214,1,459.40000000000003,1
23,3,2811.43,0
33,1,6207.67,0
2,2,1168.06,0
58,4,6310.03,0
52,3,2662.06,0
287,1,189.9,1
3,10,5226.2300000000005,0
110,2,552.0,1
8,4,1313.1,0
291,2,641.38,1
4,1,168.9,0
51,4,3541.94,0
45,2,1887.96,0
72,3,1298.04,0
311,1,364.6,1
25,1,742.9300000000001,0
11,2,457.5,0
315,2,1628.1200000000001,1
130,1,4008.62,1
82,2,852.24,0
22,4,2724.81,0
5,5,1845.31,0
185,5,1850.56,1
29,2,585.27,0
338,2,401.9,1
16,6,2780.6600000000003,0
80,1,549.84,0
22,1,439.66,0
72,4,1582.6000000000001,0
64,2,1272.48,0
19,12,3018.63,0
36,2,2409.9,0
46,1,1635.6599999999999,0
119,4,1108.65,1
303,1,84.3,1
323,1,225.60000000000002,1
50,1,427.7,0
149,1,1710.39,1
22,2,3415.3,0
50,5,1708.12,0
33,5,2888.55,0
79,3,11072.67,0
309,2,693.33,1
75,3,1226.88,0
67,3,758.1,0
217,3,562.4100000000001,1
24,21,124914.53,0
3,9,3649.1,0
113,1,668.58,1
64,1,600.39,0
16,4,807.04,0
96,3,803.5600000000001,1
1,8,1859.31,0
163,2,1760.96,1
78,1,777.2,0
195,1,582.73,1
22,3,825.8000000000001,0
26,9,7956.46,0
9,4,3750.4,0
43,1,256.4,0
36,15,6419.95,0
43,5,5059.32,0
1,7,13375.87,0
85,2,806.14,0
80,2,7829.89,0
100,1,509.01,1
2,18,4951.41,0
14,2,2906.85,0
367,1,173.55,1
3,1,172.06,0
21,5,5005.46,0
22,1,133.4,0
58,1,1002.3100000000001,0
243,1,476.49,1
44,1,449.45,0
22,4,4067.29,0
156,2,197.88,1
11,5,9035.52,0
17,2,430.57000000000005,0
134,1,707.09,1
56,1,3528.34,0
73,6,2466.86,0
44,3,3181.04,0
66,7,2363.23,0
71,2,947.4,0
94,2,826.88,1
19,2,1189.59,0
53,4,1344.78,0
10,8,1212.05,0
17,2,742.19,0
188,2,729.54,1
2,30,19788.65,0
32,7,6572.11,0
29,5,3928.05,0
17,18,7324.09,0
54,1,723.38,0
16,11,6816.42,0
23,6,13219.74,0
4,1,680.99,0
11,1,527.2,0
28,4,3281.63,0
23,10,5579.82,0
17,8,2484.98,0
33,6,4527.32,0
10,3,1298.66,0
336,1,334.93,1
5,10,5417.93,0
39,1,460.40000000000003,0
63,2,263.21000000000004,0
166,2,433.74,1
16,7,1246.1,0
82,1,1043.1,0
21,3,403.70000000000005,0
23,11,4257.82,0
337,1,2169.39,1
96,5,3723.87,1
18,2,482.04999999999995,0
233,1,73.5,1
134,3,1304.81,1
26,2,397.88,0
284,1,176.5,1
143,2,982.5699999999999,1
66,2,132.18,0
113,1,612.29,1
267,1,1017.6800000000001,1
353,1,383.7,1
78,2,1312.06,0
28,5,2481.6,0
1,5,2056.89,0
64,1,330.84000000000003,0
79,5,2634.26,0
143,1,599.68,1
39,2,192.72,0
19,11,1789.77,0
9,8,4485.72,0
1,3,1316.66,0
82,3,348.71000000000004,0
9,6,1933.48,0
60,4,1662.28,0
15,1,125.22,0
30,1,349.83000000000004,0
131,1,1089.18,1
92,2,716.35,1
43,3,12601.830000000002,0
29,1,363.95,0
22,4,5568.35,0
20,17,13400.24,0
30,3,981.18,0
36,1,372.7,0
75,2,1000.39,0
47,2,1161.5,0
198,2,207.8,1
166,1,95.19999999999999,1
79,1,964.83,0
358,1,168.0,1
39,2,437.82,0
8,10,3692.28,0
50,2,599.56,0
16,5,11990.960000000001,0
8,1,269.96,0
311,2,561.71,1
5,3,2134.01,0
303,1,238.85,1
8,7,3781.7400000000002,0
261,1,456.90000000000003,1
289,1,145.92000000000002,1
86,1,351.65,0
23,10,9401.28,0
2,32,4124.6900000000005,0
40,2,519.61,0
9,2,1020.4200000000001,0
227,1,160.54000000000002,1
316,1,218.45000000000002,1
36,5,1315.83,0
35,3,626.6,0
21,2,2794.51,0
78,1,440.42,0
247,1,415.7,1
40,1,197.71,0
239,2,511.36,1
3,15,7281.38,0
4,9,2338.15,0
234,2,2040.1,1
17,1,196.94000000000003,0
8,1,144.0,0
39,1,214.89999999999998,0
29,2,646.68,0
211,2,9864.26,1
317,1,452.84999999999997,1
92,2,437.6,1
109,3,418.1,1
38,10,3338.2200000000003,0
51,2,618.27,0
19,4,3811.22,0
10,8,3023.08,0
29,7,1032.58,0
29,10,2599.04,0
190,5,577.0600000000001,1
59,1,153.12,0
22,1,739.1999999999999,0
79,2,254.18,0
60,1,1579.51,0
78,3,1126.85,0
23,5,2099.54,0
52,1,1193.32,0
74,1,704.04,0
57,5,3344.38,0
278,1,315.6,1
2,4,2291.19,0
95,2,713.3,1
29,1,352.98,0
22,1,177.31,0
16,9,3641.24,0
15,3,1339.41,0
2,20,13689.67,0
232,1,180.1,1
276,1,305.1,1
106,2,641.13,1
212,2,2683.82,1
23,9,6620.4800000000005,0
11,7,4478.53,0
4,3,786.46,0
10,2,1270.88,0
57,1,640.5,0
59,4,2163.98,0
90,2,1689.18,0
67,8,6002.9,0
33,1,671.69,0
239,1,486.1,1
24,3,1174.58,0
115,1,185.9,1
25,3,1013.26,0
128,6,3344.64,1
130,1,477.90999999999997,1
34,4,1775.18,0
5,2,1346.97,0
22,12,3722.82,0
155,1,318.05,1
107,3,623.51,1
3,1,314.44,0
335,1,114.0,1
331,1,919.98,1
149,2,2209.85,1
11,5,601.98,0
17,5,4051.17,0
11,4,1643.18,0
19,1,686.05,0
30,1,91.68,0
11,1,245.10000000000002,0
1,11,3849.78,0
8,9,4881.88,0
325,1,63.0,1
58,1,620.13,0
12,4,3807.15,0
151,3,2744.0299999999997,1
10,5,2996.05,0
330,1,225.9,1
5,2,610.52,0
39,4,1970.6,0
25,6,1331.39,0
42,12,17628.46,0
59,4,1113.02,0
1,4,862.81,0
15,22,13787.54,0
4,31,12279.82,0
4,15,8476.57,0
8,7,2283.63,0
28,6,2863.08,0
372,1,89.14,1
114,1,4873.81,1
26,2,1247.6100000000001,0
206,1,389.01,1
28,6,1035.8,0
127,4,855.91,1
70,2,869.67,0
7,4,582.1,0
29,3,957.59,0
8,4,4939.99,0
80,2,797.71,0
20,1,219.0,0
71,1,283.55,0
7,8,2340.84,0
15,9,6868.29,0
292,1,603.42,1
30,10,2712.91,0
15,15,9706.52,0
97,3,1149.02,1
29,13,4396.13,0
1,1,848.55,0
9,5,4708.86,0
106,1,343.36,1
4,2,1053.49,0
151,2,1030.98,1
71,1,238.25,0
5,2,644.95,0
3,25,5781.7300000000005,0
32,6,2656.13,0
85,4,997.63,0
4,5,725.07,0
5,4,1031.41,0
371,1,427.8,1
28,7,2609.1,0
11,7,3980.7000000000003,0
71,4,836.33,0
114,1,453.01,1
24,12,18895.91,0
180,1,236.26000000000002,1
234,1,383.95,1
353,1,110.39999999999999,1
315,2,779.5699999999999,1
333,1,234.0,1
372,1,155.35,1
78,2,1013.04,0
64,1,427.6,0
134,2,540.13,1
52,7,21279.29,0
2,11,4196.01,0
1,209,33053.19,0
4,5,4090.88,0
129,1,275.88,1
81,1,4366.78,0
23,6,21429.39,0
236,3,3010.74,1
281,2,3811.9500000000003,1
87,1,112.08,0
16,13,7834.650000000001,0
117,2,2791.59,1
52,3,1531.44,0
8,2,1898.52,0
138,2,494.08,1
317,1,1693.88,1
4,7,6989.63,0
239,1,1143.6,1
211,1,1351.45,1
60,1,892.47,0
17,5,1386.04,0
20,6,822.23,0
38,8,3981.36,0
64,2,826.74,0
5,5,2330.92,0
2,6,2225.91,0
9,2,532.82,0
364,1,311.95,1
10,3,463.66,0
65,1,91.85,0
192,1,324.92,1
374,1,192.60000000000002,1
257,1,400.54,1
335,2,545.48,1
53,2,860.41,0
19,1,430.48,0
366,1,254.03,1
10,3,6977.04,0
187,1,427.58,1
37,3,483.65000000000003,0
178,1,489.31,1
261,3,514.85,1
45,1,229.64000000000001,0
102,1,125.92,1
148,2,1063.46,1
96,2,572.2,1
281,1,166.04000000000002,1
262,1,1542.08,1
3,4,942.34,0
214,1,92.72,1
71,2,948.88,0
75,5,1759.5,0
60,1,397.12,0
3,7,1474.72,0
6,3,430.15,0
3,6,1018.71,0
337,2,293.0,1
38,6,6814.64,0
262,1,215.05,1
32,2,383.03000000000003,0
145,1,417.38,1
283,1,312.38,1
59,4,2610.36,0
173,1,134.1,1
34,2,671.95,0
3,14,5591.42,0
144,4,2726.77,1
5,25,3991.58,0
70,2,1118.99,0
66,8,1702.26,0
29,2,325.96000000000004,0
267,4,354.09000000000003,1
22,1,843.64,0
31,2,1010.29,0
97,1,131.81,1
295,1,311.55,1
135,6,1957.1000000000001,1
79,3,1316.25,0
373,1,38.1,1
8,6,2170.78,0
211,2,1106.4,1
52,1,521.2,0
138,1,147.12,1
26,2,1568.23,0
283,1,559.12,1
26,7,4009.34,0
186,6,1607.0600000000002,1
84,2,380.64,0
327,2,599.97,1
282,1,374.0,1
143,2,343.2300000000001,1
58,2,2218.02,0
4,12,1535.77,0
236,2,854.99,1
45,3,573.22,0
276,1,298.0,1
9,2,1463.04,0
25,4,703.47,0
88,1,309.05,0
63,3,1175.22,0
68,2,1378.4,0
214,2,354.12,1
24,1,376.71999999999997,0
186,3,331.0,1
31,1,176.55,0
42,2,372.8,0
205,2,216.5,1
9,28,17654.54,0
265,1,138.68,1
18,2,496.06,0
12,5,2919.81,0
176,2,750.0,1
40,5,2178.67,0
23,8,3075.04,0
3,5,1662.3,0
5,5,2483.63,0
149,2,363.65,1
139,4,2944.95,1
128,1,594.0,1
8,6,1335.19,0
17,1,162.78,0
9,37,16587.09,0
161,1,405.38,1
64,1,172.82,0
88,4,933.7,0
5,2,694.05,0
35,5,2062.7,0
312,1,117.85,1
78,2,415.8,0
22,15,42055.96,0
24,3,607.53,0
2,7,2160.7,0
17,4,1063.9,0
15,4,1504.27,0
26,1,114.14,0
64,8,11581.8,0
55,2,899.69,0
131,3,675.6,1
36,2,604.51,0
288,1,462.95,1
144,6,1603.99,1
16,7,2064.95,0
31,8,4167.22,0
2,3,1843.0,0
9,6,1064.07,0
6,4,1387.79,0
10,1,329.85,0
1,11,4757.16,0
306,1,108.07,1
10,8,4017.54,0
7,2,266.39,0
8,8,1856.63,0
89,1,769.8100000000001,0
10,1,160.18,0
358,2,1660.9,1
112,1,135.95,1
7,4,405.47,0
4,86,11189.91,0
198,1,144.8,1
212,1,738.6,1
156,1,39.239999999999995,1
158,9,7374.900000000001,1
30,2,372.21999999999997,0
243,1,390.54,1
19,1,97.5,0
1,2,1239.38,0
74,2,558.7,0
292,1,505.82,1
3,15,6924.11,0
31,3,409.5,0
23,2,503.76,0
23,4,414.76,0
4,3,974.42,0
85,1,211.32,0
22,4,1226.89,0
196,3,455.88,1
107,3,534.85,1
4,13,9785.970000000001,0
318,1,120.95,1
106,3,149.05,1
12,18,5655.91,0
174,2,513.7,1
56,1,81.57,0
323,1,229.47,1
372,1,50.550000000000004,1
9,8,1646.8400000000001,0
1,13,4810.9400000000005,0
11,10,3466.28,0
53,5,3339.64,0
73,3,789.89,0
7,1,204.0,0
16,28,7277.7,0
4,9,2616.38,0
64,2,689.9,0
1,5,975.36,0
114,6,6912.0,1
23,2,661.3199999999999,0
31,3,1247.5,0
11,2,752.44,0
52,2,1010.1800000000001,0
357,1,190.55,1
55,2,642.77,0
74,2,921.88,0
138,3,881.07,1
80,3,908.46,0
9,2,676.99,0
273,1,516.42,1
291,1,560.47,1
99,1,305.28000000000003,1
31,2,629.31,0
32,10,3237.54,0
14,4,1819.41,0
64,2,656.6800000000001,0
15,17,5836.86,0
212,1,348.15000000000003,1
78,3,1214.41,0
25,3,271.40000000000003,0
250,1,183.4,1
254,1,307.53000000000003,1
72,1,248.61,0
191,1,346.98,1
13,4,1105.59,0
373,1,205.86,1
24,2,470.8,0
82,1,115.46000000000001,0
10,2,344.0,0
1,24,4431.44,0
192,1,228.8,1
267,1,177.15,1
130,1,919.61,1
1,4,728.02,0
3,26,12627.94,0
4,5,220.10000000000002,0
179,1,58.08,1
12,11,28337.38,0
126,9,3613.63,1
4,2,303.75,0
158,2,416.08,1
3,97,58762.08,0
9,14,8910.82,0
28,1,345.82,0
71,5,477.83,0
276,8,7832.47,1
21,12,1927.3200000000002,0
71,1,74.39999999999999,0
33,10,6003.22,0
1,28,28882.44,0
99,1,207.36,1
234,1,101.19,1
1,24,6424.09,0
40,1,243.94,0
3,6,1098.48,0
133,1,76.5,1
44,4,1531.6200000000001,0
373,1,350.06,1
60,2,786.54,0
31,7,1488.67,0
1,24,12245.960000000001,0
12,4,2294.78,0
138,1,501.14,1
22,8,984.91,0
20,5,1197.81,0
239,1,30.6,1
269,1,283.73,1
94,2,922.39,1
90,3,3756.33,0
5,8,2099.64,0
78,1,259.17,0
94,1,64.0,1
23,3,1073.3,0
262,1,77.3,1
274,2,109.8,1
86,4,1793.58,0
197,1,3096.0,1
56,5,2607.61,0
11,8,3603.29,0
22,6,962.39,0
16,7,5064.9400000000005,0
108,3,422.47,1
85,5,2388.75,0
19,1,307.09000000000003,0
333,1,110.95,1
40,4,618.52,0
26,1,228.91,0
10,4,712.8,0
29,12,3683.26,0
14,4,1676.06,0
296,1,1257.8700000000001,1
6,1,486.22,0
33,4,971.76,0
49,4,1741.22,0
95,4,1201.06,1
9,4,1429.35,0
22,1,91.8,0
313,1,112.75,1
122,4,1688.29,1
46,2,1021.48,0
283,1,417.2,1
19,4,791.33,0
36,4,1299.59,0
64,2,712.88,0
27,1,108.81,0
22,3,468.41,0
4,2,353.65000000000003,0
16,3,2742.82,0
46,1,481.49,0
65,1,282.45,0
26,11,5725.47,0
45,1,121.18,0
8,9,3957.78,0
15,10,1668.95,0
268,1,71.4,1
40,3,1575.89,0
337,1,236.02,1
11,1,114.6,0
19,2,260.68,0
95,2,911.94,1
61,1,112.08,0
136,1,60.7,1
11,4,1797.78,0
10,6,3401.2400000000002,0
4,38,9817.12,0
19,4,870.09,0
10,4,869.46,0
15,2,250.26000000000002,0
59,6,1217.65,0
30,8,5891.61,0
94,1,353.48,1
10,3,1095.42,0
20,3,786.83,0
57,5,1520.58,0
268,1,333.74,1
122,3,533.98,1
127,1,62.64,1
78,4,819.2900000000001,0
240,2,847.41,1
200,2,163.2,1
60,2,2155.95,0
3,7,6463.84,0
273,1,108.21000000000001,1
202,1,257.7,1
81,1,358.0,0
226,1,160.95,1
4,14,2755.63,0
13,7,1328.35,0
74,2,605.12,0
212,1,1031.07,1
25,2,744.85,0
17,4,700.73,0
262,1,329.56,1
96,4,663.65,1
112,3,270.40000000000003,1
203,1,585.12,1
93,1,121.74000000000001,1
51,1,430.5,0
18,6,1961.52,0
18,4,501.12,0
125,2,465.68,1
92,3,711.41,1
157,2,1030.4,1
9,2,399.51,0
12,3,672.83,0
62,1,283.18,0
61,1,557.62,0
269,2,944.1,1
263,1,200.29,1
1,35,7436.93,0
53,5,2092.66,0
11,12,3834.2599999999998,0
3,19,4521.49,0
18,11,3174.75,0
1,15,5343.28,0
366,1,590.0,1
37,1,211.49,0
31,2,276.56,0
113,1,138.98,1
64,2,590.9300000000001,0
16,4,258.4,0
41,1,542.73,0
78,1,137.75,0
122,3,798.46,1
18,3,1132.14,0
60,2,93.66,0
331,1,201.19,1
23,4,2709.12,0
156,1,361.11,1
39,2,578.94,0
190,2,873.74,1
360,1,201.20000000000002,1
137,1,87.4,1
8,4,2089.85,0
1,1,360.0,0
268,1,142.5,1
169,1,371.89,1
104,4,618.09,1
155,1,63.75,1
351,1,300.42,1
4,10,2000.86,0
120,1,15.0,1
23,3,1385.51,0
7,5,1456.79,0
28,3,1132.03,0
4,2,598.57,0
22,5,1555.3200000000002,0
2,3,775.94,0
37,4,5732.93,0
66,6,2273.68,0
1,3,640.76,0
5,26,10845.550000000001,0
78,4,1532.2,0
72,2,567.36,0
17,1,199.48000000000002,0
3,5,787.85,0
36,10,7121.95,0
82,1,675.3,0
39,8,3627.77,0
316,1,1308.48,1
32,2,789.0,0
93,3,1140.93,1
14,1,350.90000000000003,0
82,3,3502.32,0
77,1,795.12,0
158,1,487.02,1
201,1,860.12,1
45,7,10736.48,0
261,1,775.85,1
178,1,353.43,1
68,3,2511.69,0
288,1,389.5,1
70,1,341.36,0
64,1,233.76000000000002,0
11,1,247.32,0
16,2,979.12,0
66,1,373.94,0
60,1,397.98,0
71,1,743.53,0
122,1,674.7,1
80,1,768.24,0
257,1,609.4,1
269,1,439.03000000000003,1
64,1,439.56,0
9,4,3090.7400000000002,0
18,2,992.5,0
71,1,134.96,0
34,2,2225.37,0
50,1,56.16,0
257,2,623.4,1
366,1,308.28000000000003,1
372,1,754.87,1
90,1,378.64,0
61,3,3312.25,0
89,1,778.65,0
99,3,1019.76,1
26,3,572.56,0
32,6,3639.31,0
281,1,222.99,1
31,7,4151.93,0
330,1,534.57,1
131,2,677.1,1
11,3,797.96,0
75,1,544.08,0
204,1,59.8,1
2,8,2520.02,0
185,1,307.72,1
29,2,1360.99,0
73,5,1544.13,0
192,1,457.34000000000003,1
127,2,621.23,1
18,1,75.0,0
1,2,252.49,0
74,3,572.451,0
2,62,28117.04,0
24,5,1003.06,0
107,1,213.55,1
134,3,1390.5,1
44,2,712.5,0
5,2,640.83,0
12,18,6127.43,0
64,1,221.06,0
150,2,159.85,1
40,2,1833.71,0
64,1,2626.3,0
108,3,1624.21,1
1,10,3641.32,0
19,3,582.6,0
10,1,201.78,0
11,4,1006.8,0
19,2,679.45,0
67,2,1269.1,0
74,2,534.24,0
5,7,3809.89,0
2,1,196.89,0
14,7,3408.06,0
255,1,283.71,1
92,1,296.64,1
23,3,1129.14,0
17,6,3534.69,0
24,1,291.88,0
27,6,2043.72,0
26,5,2898.2599999999998,0
259,2,590.0,1
166,2,356.98,1
25,2,1058.34,0
18,6,1766.72,0
7,14,9646.57,0
29,2,183.44,0
39,3,1445.0,0
253,1,151.5,1
58,1,674.68,0
184,1,307.90000000000003,1
11,2,1071.91,0
2,37,5704.97,0
99,2,165.0,1
1,4,2501.84,0
61,2,422.64,0
236,1,226.84,1
191,4,1431.78,1
179,2,1238.47,1
38,6,1454.58,0
201,2,300.95,1
46,5,1804.56,0
232,1,184.64000000000001,1
66,1,140.34,0
241,1,313.8,1
233,1,454.24,1
78,3,1122.41,0
58,3,575.4,0
17,13,8968.31,0
105,4,449.52,1
52,10,1215.82,0
136,3,1269.84,1
275,2,618.63,1
312,1,316.26000000000005,1
8,5,2044.8700000000001,0
11,2,653.33,0
283,2,348.05,1
18,5,1159.1100000000001,0
23,3,1166.77,0
288,1,1340.32,1
17,3,292.0,0
71,1,216.85,0
64,1,295.93,0
73,4,4393.63,0
316,2,458.52,1
3,4,2479.16,0
244,1,110.97,1
9,7,979.72,0
1,4,1791.56,0
261,1,251.21,1
127,1,205.1,1
74,1,152.20000000000002,0
73,4,891.12,0
21,3,1389.41,0
60,3,2128.42,0
86,1,627.16,0
78,1,122.75,0
59,6,3624.35,0
1,3,1071.73,0
30,1,125.80000000000001,0
33,5,3964.88,0
41,5,680.1800000000001,0
15,2,628.78,0
34,7,2242.36,0
79,2,307.76,0
205,2,483.8,1
34,1,210.31,0
183,3,269.09,1
2,25,5870.08,0
1,7,3444.39,0
43,7,1280.85,0
86,3,631.34,0
40,2,276.06,0
12,3,621.09,0
96,2,678.16,1
26,7,918.2,0
319,1,91.80000000000001,1
66,12,3740.07,0
74,4,4098.88,0
28,2,584.0600000000001,0
6,4,594.52,0
7,1,171.42000000000002,0
216,1,141.85999999999999,1
82,3,1799.3300000000002,0
84,2,777.53,0
144,3,1724.67,1
19,2,240.22,0
41,2,856.84,0
173,1,187.05,1
17,2,338.62,0
243,1,239.49,1
13,12,2088.94,0
206,1,1384.25,1
50,2,290.25,0
23,5,732.07,0
10,18,6717.34,0
25,4,1687.6000000000001,0
15,2,467.04,0
309,1,118.0,1
156,1,781.03,1
307,1,142.4,1
64,1,712.4,0
16,9,2478.95,0
15,2,379.65,0
11,6,1981.92,0
65,3,1117.13,0
36,4,247.95999999999998,0
108,5,2011.88,1
53,1,396.97,0
6,2,664.11,0
47,1,160.04,0
1,21,5149.92,0
312,1,219.52,1
45,2,693.32,0
65,1,428.89,0
26,1,164.34,0
29,3,276.75,0
40,1,675.51,0
12,7,1082.33,0
89,3,1154.4,0
24,4,1585.46,0
319,1,417.69,1
40,3,544.18,0
174,1,177.34,1
117,1,213.85,1
31,5,727.74,0
253,1,257.23,1
59,5,1638.47,0
23,11,7792.36,0
5,7,2031.78,0
100,11,3070.42,1
25,5,2118.93,0
33,5,1547.3600000000001,0
68,1,1071.03,0
37,5,949.12,0
52,3,804.3,0
16,1,122.64,0
74,1,1033.34,0
216,1,312.28,1
31,3,519.44,0
16,4,2624.26,0
120,1,252.1,1
10,4,1648.1200000000001,0
257,2,346.6,1
17,6,1836.3400000000001,0
35,2,94.2,0
46,3,1095.08,0
43,6,2707.33,0
114,2,932.97,1
165,2,379.65,1
11,2,382.14,0
10,5,2639.17,0
206,2,1563.0,1
86,3,881.26,0
179,1,189.47,1
60,3,84.65,0
149,1,299.05,1
3,21,6309.83,0
51,2,218.55,0
75,1,349.7,0
301,2,186.39000000000001,1
19,2,387.44,0
151,2,486.82000000000005,1
152,1,232.6,1
1,4,3719.12,0
18,4,827.83,0
187,1,59.5,1
286,1,65.13,1
3,7,3119.44,0
183,1,72.0,1
63,1,910.0,0
59,1,172.25,0
25,3,1488.32,0
4,50,65039.62,0
31,15,2504.13,0
39,1,151.3,0
155,1,308.58000000000004,1
26,10,2248.63,0
318,1,99.5,1
5,9,2308.06,0
8,3,711.86,0
303,1,330.79,1
267,2,806.41,1
271,1,285.33,1
4,13,6307.650000000001,0
32,1,180.48,0
219,2,252.06,1
247,1,228.84,1
281,5,1077.39,1
269,1,138.28,1
32,6,1445.01,0
246,2,306.55,1
15,5,1041.68,0
117,4,799.9,1
36,1,524.14,0
132,3,2375.41,1
217,1,199.85000000000002,1
50,8,1980.56,0
39,2,1079.66,0
29,2,333.48,0
37,6,1016.14,0
136,2,752.6,1
219,2,610.59,1
28,1,491.86,0
25,4,2883.54,0
5,2,729.8,0
200,1,339.6,1
18,1,216.9,0
241,1,350.75,1
72,3,668.4300000000001,0
17,12,3107.87,0
3,7,1341.6,0
95,2,1080.52,1
162,1,300.04,1
374,1,79.6,1
96,5,948.25,1
54,5,1647.26,0
288,1,296.25,1
124,6,1175.38,1
288,1,741.26,1
152,2,282.6,1
4,9,2108.06,0
2,14,5189.52,0
12,7,3190.55,0
33,2,659.4100000000001,0
54,2,286.79,0
50,2,1070.65,0
219,1,306.72,1
63,1,1714.96,0
71,3,1519.42,0
2,37,17220.36,0
2,10,2796.51,0
64,4,2634.45,0
34,3,1122.63,0
82,1,345.0,0
1,33,25977.16,0
103,1,178.7,1
7,2,360.01,0
251,1,127.84,1
13,6,908.86,0
10,11,2462.79,0
367,1,230.4,1
76,2,309.04,0
4,1,348.79999999999995,0
128,2,1516.0,1
66,2,195.55,0
1,57,37153.85,0
117,2,688.86,1
310,1,558.32,1
67,1,324.8,0
139,3,4599.42,1
255,1,277.07,1
